KB911090.1_252 KB911102.1_43 KB911124.1_93 KB911102.1_2 KB911135.1_105 KB911146.1_95 KB911146.1_40 KB911090.1_257 KB911094.1_44 KB911090.1_290 KB911091.1_169 
KB911169.1_36 KB911090.1_126 KB911135.1_90 KB911168.1_45 KB911113.1_48 KB911090.1_269 KB911168.1_49 KB911093.1_9 KB911090.1_157 KB911135.1_102 
KB911093.1_59 KB911106.1_13 KB911090.1_278 KB911124.1_64 KB911102.1_134 KB911090.1_177 
KB911091.1_70 KB911091.1_69 KB911093.1_53 KB911124.1_65 KB911091.1_71 KB911168.1_60 
KB911108.1_18 KB911091.1_140 KB911168.1_67 KB911090.1_5 KB911116.1_4 KB911114.1_7 
KB911091.1_44 KB911168.1_46 KB911099.1_15 KB911091.1_93 KB911092.1_16 
KB911168.1_25 KB911093.1_65 KB911093.1_66 KB911090.1_178 KB911129.1_4 
KB911098.1_9 KB911100.1_7 KB911098.1_10 KB911100.1_6 KB911135.1_54 
KB911096.1_9 KB911102.1_30 KB911098.1_7 KB911100.1_9 KB911157.1_32 
KB911090.1_55 KB911090.1_152 KB911090.1_56 KB911090.1_54 
KB911113.1_143 KB911124.1_100 KB911146.1_52 KB911113.1_141 
KB911092.1_45 KB911091.1_143 KB911091.1_116 
KB911168.1_11 KB911091.1_81 KB911121.1_7 
KB911118.1_4 KB911169.1_40 KB911092.1_57 
KB911102.1_120 KB911096.1_13 KB911106.1_4 
KB911090.1_26 KB911090.1_20 KB911121.1_8 
KB911135.1_10 KB911135.1_12 KB911090.1_8 
KB911124.1_36 KB911090.1_13 KB911091.1_19 
KB911098.1_23 KB911168.1_81 KB911090.1_47 
KB911098.1_3 KB911100.1_13 KB911157.1_72 
KB911090.1_158 KB911169.1_31 KB911090.1_117 
KB911135.1_20 KB911146.1_17 KB911157.1_15 
KB911098.1_15 KB911100.1_1 KB911150.1_2 
KB911113.1_115 KB911091.1_96 KB911146.1_64 
KB911102.1_76 KB911098.1_6 KB911100.1_10 
KB911090.1_287 KB911128.1_6 KB911168.1_65 
KB911092.1_72 KB911169.1_22 KB911090.1_228 
KB911104.1_21 KB911093.1_48 KB911102.1_163 
KB911124.1_45 KB911098.1_13 KB911100.1_3 
KB911146.1_16 KB911092.1_36 KB911091.1_152 
KB911108.1_23 KB911100.1_17 KB911107.1_21 
KB911102.1_35 KB911091.1_138 KB911109.1_10 
KB911108.1_14 KB911090.1_255 KB911113.1_137 
KB911135.1_87 KB911168.1_61 KB911101.1_38 
KB911101.1_35 KB911101.1_34 KB911101.1_36 
KB911098.1_27 KB911168.1_77 
KB911169.1_54 KB911169.1_55 
KB911098.1_21 KB911168.1_83 
KB911100.1_33 KB911107.1_5 
KB911095.1_8 KB911090.1_122 
KB911100.1_18 KB911107.1_20 
KB911101.1_18 KB911124.1_68 
KB911098.1_17 KB911168.1_87 
KB911095.1_57 KB911092.1_12 
KB911090.1_32 KB911090.1_161 
KB911100.1_34 KB911107.1_4 
KB911090.1_29 KB911157.1_36 
KB911091.1_31 KB911102.1_12 
KB911100.1_22 KB911107.1_16 
KB911112.1_5 KB911090.1_205 
KB911090.1_12 KB911092.1_62 
KB911098.1_4 KB911100.1_12 
KB911157.1_46 KB911168.1_55 
KB911100.1_35 KB911107.1_3 
KB911091.1_79 KB911124.1_66 
KB911100.1_30 KB911107.1_8 
KB911104.1_22 KB911094.1_9 
KB911105.1_15 KB911105.1_13 
KB911098.1_20 KB911168.1_84 
KB911098.1_29 KB911168.1_75 
KB911101.1_26 KB911168.1_56 
KB911091.1_53 KB911095.1_35 
KB911093.1_44 KB911095.1_16 
KB911111.1_12 KB911168.1_3 
KB911131.1_1 KB911168.1_69 
KB911090.1_139 KB911135.1_73 
KB911100.1_25 KB911107.1_13 
KB911090.1_240 KB911094.1_10 
KB911098.1_31 KB911168.1_73 
KB911098.1_2 KB911100.1_14 
KB911168.1_5 KB911111.1_14 
KB911090.1_103 KB911090.1_162 
KB911100.1_16 KB911107.1_22 
KB911139.1_3 KB911120.1_3 
KB911098.1_16 KB911168.1_88 
KB911119.1_5 KB911137.1_1 
KB911093.1_51 KB911102.1_103 
KB911095.1_46 KB911114.1_9 
KB911135.1_93 KB911110.1_16 
KB911100.1_28 KB911107.1_10 
KB911100.1_32 KB911107.1_6 
KB911090.1_3 KB911094.1_40 
KB911114.1_11 KB911146.1_9 
KB911100.1_37 KB911107.1_1 
KB911100.1_26 KB911107.1_12 
KB911153.1_2 KB911135.1_3 
KB911098.1_14 KB911100.1_2 
KB911105.1_12 KB911105.1_14 
KB911168.1_71 KB911098.1_33 
KB911090.1_105 KB911103.1_20 
KB911097.1_29 KB911091.1_85 
KB911124.1_15 KB911124.1_14 
KB911168.1_63 KB911108.1_20 
KB911093.1_52 KB911101.1_14 
KB911098.1_12 KB911100.1_4 
KB911098.1_28 KB911168.1_76 
KB911098.1_32 KB911168.1_72 
KB911090.1_78 
KB911116.1_1 
KB911102.1_45 
KB911124.1_58 
KB911103.1_1 
KB911157.1_2 
KB911124.1_92 
KB911106.1_6 
KB911091.1_106 
KB911105.1_9 
KB911091.1_105 
KB911157.1_51 
KB911124.1_74 
KB911095.1_29 
KB911090.1_147 
KB911092.1_41 
KB911090.1_110 
KB911091.1_11 
KB911096.1_25 
KB911102.1_13 
KB911124.1_73 
KB911090.1_217 
KB911124.1_22 
KB911124.1_94 
KB911090.1_23 
KB911090.1_119 
KB911169.1_58 
KB911113.1_87 
KB911096.1_30 
KB911112.1_2 
KB911091.1_18 
KB911097.1_10 
KB911097.1_17 
KB911090.1_58 
KB911109.1_3 
KB911094.1_43 
KB911124.1_21 
KB911109.1_15 
KB911094.1_25 
KB911146.1_26 
KB911157.1_55 
KB911090.1_197 
KB911091.1_54 
KB911169.1_66 
KB911113.1_69 
KB911091.1_141 
KB911097.1_14 
KB911157.1_34 
KB911169.1_60 
KB911097.1_6 
KB911135.1_98 
KB911096.1_37 
KB911090.1_140 
KB911091.1_83 
KB911096.1_10 
KB911113.1_34 
KB911090.1_7 
KB911113.1_1 
KB911113.1_29 
KB911146.1_2 
KB911091.1_139 
KB911113.1_139 
KB911135.1_57 
KB911111.1_3 
KB911168.1_41 
KB911110.1_17 
KB911094.1_5 
KB911090.1_206 
KB911169.1_15 
KB911104.1_16 
KB911169.1_14 
KB911102.1_82 
KB911122.1_3 
KB911124.1_57 
KB911105.1_46 
KB911102.1_112 
KB911090.1_81 
KB911169.1_3 
KB911092.1_46 
KB911146.1_59 
KB911099.1_19 
KB911125.1_4 
KB911169.1_52 
KB911124.1_60 
KB911093.1_41 
KB911113.1_57 
KB911091.1_82 
KB911112.1_14 
KB911157.1_28 
KB911157.1_61 
KB911113.1_90 
KB911090.1_34 
KB911095.1_1 
KB911091.1_46 
KB911091.1_62 
KB911101.1_22 
KB911102.1_160 
KB911095.1_65 
KB911097.1_28 
KB911099.1_21 
KB911146.1_10 
KB911157.1_84 
KB911169.1_8 
KB911094.1_7 
KB911104.1_27 
KB911099.1_32 
KB911114.1_12 
KB911090.1_80 
KB911102.1_77 
KB911116.1_5 
KB911146.1_15 
KB911169.1_67 
KB911095.1_2 
KB911136.1_1 
KB911091.1_148 
KB911102.1_102 
KB911157.1_66 
KB911090.1_35 
KB911090.1_258 
KB911146.1_21 
KB911104.1_11 
KB911091.1_50 
KB911090.1_224 
KB911135.1_13 
KB911124.1_4 
KB911157.1_42 
KB911168.1_12 
KB911093.1_64 
KB911146.1_98 
KB911092.1_65 
KB911124.1_12 
KB911090.1_121 
KB911090.1_155 
KB911091.1_49 
KB911133.1_3 
KB911135.1_36 
KB911157.1_59 
KB911091.1_20 
KB911113.1_114 
KB911106.1_2 
KB911169.1_10 
KB911090.1_133 
KB911094.1_52 
KB911090.1_97 
KB911096.1_41 
KB911093.1_10 
KB911146.1_29 
KB911092.1_40 
KB911135.1_65 
KB911102.1_169 
KB911124.1_44 
KB911124.1_8 
KB911113.1_56 
KB911090.1_174 
KB911105.1_1 
KB911091.1_171 
KB911093.1_46 
KB911090.1_144 
KB911124.1_97 
KB911111.1_4 
KB911105.1_2 
KB911093.1_63 
KB911124.1_112 
KB911091.1_165 
KB911102.1_71 
KB911146.1_6 
KB911092.1_19 
KB911115.1_15 
KB911090.1_31 
KB911102.1_178 
KB911124.1_111 
KB911090.1_15 
KB911135.1_49 
KB911102.1_62 
KB911135.1_85 
KB911135.1_96 
KB911094.1_21 
KB911103.1_18 
KB911102.1_92 
KB911103.1_29 
KB911104.1_15 
KB911090.1_215 
KB911113.1_135 
KB911169.1_63 
KB911113.1_81 
KB911113.1_98 
KB911134.1_2 
KB911090.1_146 
KB911117.1_3 
KB911092.1_48 
KB911168.1_44 
KB911092.1_60 
KB911101.1_5 
KB911102.1_67 
KB911090.1_124 
KB911120.1_6 
KB911090.1_107 
KB911097.1_23 
KB911102.1_52 
KB911091.1_121 
KB911169.1_9 
KB911090.1_201 
KB911090.1_85 
KB911094.1_42 
KB911113.1_76 
KB911113.1_86 
KB911093.1_28 
KB911090.1_145 
KB911102.1_38 
KB911102.1_50 
KB911135.1_74 
KB911117.1_6 
KB911124.1_50 
KB911097.1_25 
KB911157.1_5 
KB911124.1_25 
KB911091.1_16 
KB911108.1_24 
KB911090.1_65 
KB911092.1_64 
KB911096.1_39 
KB911146.1_81 
KB911169.1_39 
KB911157.1_45 
KB911093.1_61 
KB911108.1_3 
KB911091.1_73 
KB911102.1_184 
KB911120.1_2 
KB911090.1_22 
KB911104.1_19 
KB911146.1_68 
KB911146.1_60 
KB911094.1_29 
KB911108.1_26 
KB911090.1_17 
KB911157.1_4 
KB911099.1_8 
KB911094.1_26 
KB911102.1_19 
KB911090.1_50 
KB911091.1_10 
KB911096.1_14 
KB911116.1_3 
KB911169.1_34 
KB911090.1_234 
KB911091.1_112 
KB911104.1_8 
KB911135.1_107 
KB911102.1_105 
KB911110.1_2 
KB911135.1_71 
KB911124.1_35 
KB911168.1_13 
KB911102.1_125 
KB911102.1_146 
KB911124.1_20 
KB911135.1_4 
KB911115.1_18 
KB911103.1_15 
KB911113.1_113 
KB911094.1_39 
KB911124.1_84 
KB911169.1_62 
KB911094.1_4 
KB911101.1_8 
KB911118.1_7 
KB911099.1_5 
KB911091.1_117 
KB911113.1_99 
KB911146.1_18 
KB911091.1_151 
KB911096.1_19 
KB911135.1_22 
KB911102.1_31 
KB911092.1_44 
KB911118.1_5 
KB911090.1_266 
KB911144.1_1 
KB911146.1_83 
KB911157.1_9 
KB911124.1_26 
KB911145.1_1 
KB911113.1_28 
KB911146.1_63 
KB911093.1_55 
KB911102.1_116 
KB911102.1_47 
KB911118.1_8 
KB911124.1_88 
KB911091.1_43 
KB911093.1_25 
KB911168.1_54 
KB911090.1_57 
KB911119.1_11 
KB911157.1_27 
KB911090.1_37 
KB911091.1_15 
KB911130.1_1 
KB911091.1_35 
KB911135.1_101 
KB911090.1_106 
KB911094.1_14 
KB911102.1_96 
KB911090.1_218 
KB911146.1_28 
KB911168.1_35 
KB911090.1_286 
KB911096.1_34 
KB911135.1_92 
KB911102.1_111 
KB911110.1_9 
KB911157.1_65 
KB911169.1_16 
KB911094.1_55 
KB911157.1_7 
KB911090.1_185 
KB911091.1_34 
KB911092.1_31 
KB911099.1_27 
KB911090.1_149 
KB911102.1_144 
KB911091.1_166 
KB911124.1_98 
KB911097.1_21 
KB911102.1_89 
KB911157.1_68 
KB911090.1_143 
KB911091.1_67 
KB911103.1_27 
KB911090.1_256 
KB911091.1_78 
KB911135.1_55 
KB911090.1_118 
KB911102.1_170 
KB911121.1_2 
KB911135.1_104 
KB911157.1_3 
KB911095.1_63 
KB911097.1_1 
KB911090.1_154 
KB911090.1_190 
KB911091.1_161 
KB911091.1_147 
KB911096.1_36 
KB911113.1_131 
KB911135.1_91 
KB911094.1_2 
KB911115.1_3 
KB911135.1_29 
KB911095.1_64 
KB911097.1_5 
KB911115.1_17 
KB911094.1_41 
KB911097.1_37 
KB911090.1_166 
KB911090.1_283 
KB911103.1_8 
KB911090.1_48 
KB911091.1_37 
KB911169.1_42 
KB911113.1_52 
KB911124.1_55 
KB911090.1_150 
KB911104.1_29 
KB911157.1_37 
KB911095.1_27 
KB911097.1_26 
KB911102.1_162 
KB911092.1_13 
KB911106.1_19 
KB911093.1_4 
KB911097.1_18 
KB911099.1_3 
KB911094.1_30 
KB911103.1_28 
KB911094.1_18 
KB911124.1_16 
KB911091.1_60 
KB911102.1_87 
KB911135.1_94 
KB911090.1_285 
KB911102.1_114 
KB911102.1_128 
KB911146.1_82 
KB911146.1_90 
KB911157.1_24 
KB911135.1_40 
KB911096.1_33 
KB911103.1_13 
KB911113.1_37 
KB911114.1_4 
KB911092.1_69 
KB911124.1_86 
KB911119.1_14 
KB911102.1_11 
KB911099.1_6 
KB911117.1_7 
KB911151.1_1 
KB911113.1_104 
KB911101.1_37 
KB911102.1_143 
KB911090.1_204 
KB911091.1_21 
KB911096.1_4 
KB911102.1_147 
KB911168.1_16 
KB911090.1_123 
KB911102.1_175 
KB911090.1_127 
KB911090.1_237 
KB911090.1_53 
KB911094.1_3 
KB911095.1_17 
KB911101.1_11 
KB911101.1_19 
KB911113.1_89 
KB911090.1_102 
KB911113.1_134 
KB911091.1_36 
KB911113.1_108 
KB911129.1_2 
KB911102.1_172 
KB911146.1_86 
KB911090.1_186 
KB911092.1_2 
KB911135.1_52 
KB911111.1_8 
KB911135.1_126 
KB911102.1_68 
KB911090.1_194 
KB911090.1_96 
KB911102.1_177 
KB911090.1_14 
KB911111.1_5 
KB911090.1_192 
KB911091.1_113 
KB911091.1_39 
KB911099.1_34 
KB911110.1_12 
KB911146.1_12 
KB911090.1_153 
KB911091.1_127 
KB911099.1_13 
KB911168.1_22 
KB911168.1_57 
KB911169.1_64 
KB911090.1_49 
KB911106.1_14 
KB911146.1_70 
KB911146.1_25 
KB911090.1_181 
KB911091.1_24 
KB911093.1_29 
KB911118.1_3 
KB911090.1_233 
KB911094.1_49 
KB911101.1_24 
KB911097.1_16 
KB911113.1_111 
KB911092.1_70 
KB911157.1_20 
KB911091.1_65 
KB911135.1_112 
KB911135.1_113 
KB911146.1_3 
KB911169.1_59 
KB911092.1_3 
KB911113.1_49 
KB911157.1_30 
KB911090.1_33 
KB911146.1_88 
KB911168.1_19 
KB911093.1_26 
KB911124.1_3 
KB911090.1_199 
KB911093.1_27 
KB911096.1_6 
KB911102.1_91 
KB911141.1_3 
KB911091.1_80 
KB911102.1_187 
KB911113.1_27 
KB911146.1_19 
KB911113.1_66 
KB911091.1_114 
KB911135.1_95 
KB911146.1_30 
KB911091.1_164 
KB911097.1_13 
KB911102.1_66 
KB911113.1_83 
KB911091.1_9 
KB911092.1_66 
KB911104.1_23 
KB911124.1_23 
KB911169.1_28 
KB911099.1_4 
KB911169.1_13 
KB911093.1_31 
KB911094.1_47 
KB911113.1_124 
KB911113.1_132 
KB911135.1_23 
KB911093.1_2 
KB911117.1_9 
KB911122.1_4 
KB911090.1_71 
KB911091.1_125 
KB911102.1_70 
KB911157.1_74 
KB911111.1_10 
KB911124.1_82 
KB911146.1_22 
KB911168.1_15 
KB911090.1_62 
KB911099.1_2 
KB911102.1_135 
KB911157.1_54 
KB911102.1_171 
KB911140.1_1 
KB911148.1_1 
KB911095.1_51 
KB911097.1_7 
KB911094.1_57 
KB911091.1_129 
KB911093.1_49 
KB911114.1_5 
KB911091.1_111 
KB911096.1_18 
KB911090.1_195 
KB911168.1_17 
KB911092.1_8 
KB911102.1_55 
KB911135.1_1 
KB911091.1_86 
KB911095.1_43 
KB911113.1_5 
KB911091.1_153 
KB911091.1_63 
KB911094.1_1 
KB911095.1_3 
KB911091.1_170 
KB911113.1_23 
KB911096.1_31 
KB911146.1_101 
KB911146.1_73 
KB911091.1_124 
KB911091.1_137 
KB911099.1_16 
KB911102.1_179 
KB911090.1_89 
KB911091.1_98 
KB911093.1_56 
KB911101.1_17 
KB911113.1_4 
KB911091.1_64 
KB911102.1_159 
KB911102.1_173 
KB911157.1_12 
KB911094.1_35 
KB911109.1_9 
KB911146.1_91 
KB911092.1_25 
KB911124.1_80 
KB911095.1_28 
KB911104.1_25 
KB911169.1_53 
KB911156.1_1 
KB911090.1_148 
KB911096.1_3 
KB911105.1_23 
KB911169.1_32 
KB911090.1_93 
KB911102.1_113 
KB911113.1_24 
KB911146.1_34 
KB911168.1_8 
KB911135.1_108 
KB911146.1_75 
KB911090.1_61 
KB911108.1_2 
KB911090.1_21 
KB911101.1_39 
KB911090.1_24 
KB911090.1_36 
KB911094.1_19 
KB911124.1_54 
KB911146.1_5 
KB911159.1_1 
KB911169.1_57 
KB911155.1_1 
KB911093.1_45 
KB911095.1_74 
KB911113.1_19 
KB911124.1_109 
KB911090.1_271 
KB911090.1_243 
KB911102.1_183 
KB911146.1_85 
KB911124.1_30 
KB911146.1_14 
KB911146.1_32 
KB911124.1_34 
KB911135.1_56 
KB911169.1_21 
KB911103.1_2 
KB911127.1_1 
KB911138.1_2 
KB911092.1_26 
KB911113.1_130 
KB911146.1_27 
KB911091.1_12 
KB911091.1_6 
KB911097.1_38 
KB911091.1_59 
KB911094.1_45 
KB911124.1_13 
KB911131.1_2 
KB911157.1_22 
KB911090.1_87 
KB911104.1_17 
KB911146.1_43 
KB911090.1_281 
KB911109.1_5 
KB911124.1_9 
KB911090.1_241 
KB911090.1_262 
KB911091.1_131 
KB911095.1_52 
KB911124.1_83 
KB911146.1_84 
KB911096.1_22 
KB911102.1_174 
KB911113.1_126 
KB911090.1_86 
KB911157.1_79 
KB911094.1_46 
KB911104.1_24 
KB911157.1_76 
KB911091.1_66 
KB911102.1_56 
KB911147.1_1 
KB911157.1_80 
KB911169.1_51 
KB911090.1_16 
KB911090.1_239 
KB911099.1_14 
KB911124.1_107 
KB911135.1_88 
KB911092.1_37 
KB911109.1_14 
KB911163.1_1 
KB911092.1_15 
KB911094.1_16 
KB911103.1_32 
KB911146.1_92 
KB911169.1_17 
KB911090.1_253 
KB911096.1_11 
KB911102.1_81 
KB911091.1_108 
KB911091.1_14 
KB911105.1_6 
KB911157.1_19 
KB911091.1_142 
KB911093.1_43 
KB911102.1_24 
KB911157.1_77 
KB911090.1_184 
KB911090.1_60 
KB911096.1_23 
KB911113.1_45 
KB911119.1_13 
KB911146.1_33 
KB911168.1_47 
KB911090.1_104 
KB911096.1_7 
KB911102.1_153 
KB911102.1_40 
KB911113.1_21 
KB911124.1_39 
KB911090.1_245 
KB911091.1_7 
KB911110.1_18 
KB911090.1_28 
KB911090.1_64 
KB911091.1_2 
KB911094.1_17 
KB911095.1_22 
KB911096.1_38 
KB911102.1_136 
KB911110.1_4 
KB911160.1_1 
KB911169.1_20 
KB911090.1_160 
KB911091.1_55 
KB911102.1_118 
KB911109.1_12 
KB911113.1_47 
KB911120.1_8 
KB911157.1_31 
KB911090.1_132 
KB911099.1_7 
KB911109.1_2 
KB911134.1_1 
KB911135.1_100 
KB911093.1_3 
KB911093.1_33 
KB911096.1_8 
KB911102.1_137 
KB911110.1_6 
KB911113.1_3 
KB911113.1_74 
KB911124.1_99 
KB911137.1_2 
KB911102.1_88 
KB911113.1_13 
KB911169.1_44 
KB911095.1_56 
KB911157.1_62 
KB911091.1_136 
KB911093.1_1 
KB911099.1_35 
KB911102.1_3 
KB911102.1_95 
KB911106.1_7 
KB911135.1_78 
KB911169.1_41 
KB911101.1_2 
KB911135.1_18 
KB911135.1_33 
KB911142.1_2 
KB911090.1_100 
KB911097.1_24 
KB911090.1_236 
KB911099.1_1 
KB911121.1_6 
KB911096.1_15 
KB911135.1_26 
KB911146.1_87 
KB911169.1_73 
KB911105.1_36 
KB911124.1_24 
KB911090.1_136 
KB911093.1_47 
KB911097.1_22 
KB911102.1_148 
KB911102.1_158 
KB911102.1_64 
KB911124.1_19 
KB911132.1_1 
KB911157.1_48 
KB911090.1_229 
KB911113.1_73 
KB911093.1_60 
KB911095.1_45 
KB911102.1_17 
KB911110.1_15 
KB911113.1_110 
KB911113.1_140 
KB911102.1_28 
KB911146.1_74 
KB911169.1_65 
KB911090.1_90 
KB911102.1_20 
KB911105.1_25 
KB911113.1_51 
KB911091.1_90 
KB911094.1_32 
KB911133.1_1 
KB911135.1_120 
KB911102.1_189 
KB911090.1_25 
KB911090.1_63 
KB911092.1_4 
KB911095.1_11 
KB911110.1_14 
KB911118.1_1 
KB911127.1_3 
KB911099.1_26 
KB911104.1_14 
KB911113.1_32 
KB911135.1_110 
KB911157.1_13 
KB911090.1_156 
KB911091.1_126 
KB911124.1_56 
KB911168.1_30 
KB911108.1_17 
KB911113.1_112 
KB911113.1_121 
KB911113.1_91 
KB911135.1_76 
KB911092.1_52 
KB911099.1_25 
KB911102.1_150 
KB911124.1_52 
KB911146.1_93 
KB911168.1_42 
KB911113.1_142 
KB911135.1_21 
KB911110.1_19 
KB911161.1_2 
KB911102.1_74 
KB911146.1_46 
KB911090.1_280 
KB911094.1_50 
KB911095.1_33 
KB911095.1_75 
KB911102.1_122 
KB911102.1_141 
KB911124.1_27 
KB911169.1_38 
KB911093.1_18 
KB911105.1_8 
KB911124.1_28 
KB911126.1_12 
KB911169.1_18 
KB911102.1_33 
KB911113.1_103 
KB911168.1_39 
KB911092.1_7 
KB911103.1_7 
KB911110.1_5 
KB911124.1_40 
KB911096.1_16 
KB911124.1_105 
KB911135.1_9 
KB911140.1_2 
KB911103.1_19 
KB911113.1_42 
KB911162.1_1 
KB911090.1_212 
KB911092.1_1 
KB911102.1_36 
KB911157.1_16 
KB911090.1_198 
KB911090.1_225 
KB911092.1_27 
KB911102.1_10 
KB911135.1_109 
KB911101.1_16 
KB911143.1_1 
KB911157.1_29 
KB911090.1_220 
KB911090.1_289 
KB911091.1_149 
KB911124.1_2 
KB911124.1_72 
KB911135.1_42 
KB911090.1_39 
KB911094.1_27 
KB911102.1_61 
KB911152.1_1 
KB911093.1_34 
KB911113.1_136 
KB911113.1_72 
KB911124.1_77 
KB911106.1_11 
KB911113.1_15 
KB911091.1_56 
KB911095.1_69 
KB911113.1_25 
KB911130.1_3 
KB911146.1_78 
KB911104.1_12 
KB911135.1_111 
KB911135.1_44 
KB911169.1_19 
KB911090.1_268 
KB911157.1_70 
KB911090.1_44 
KB911102.1_86 
KB911117.1_4 
KB911135.1_24 
KB911096.1_21 
KB911116.1_2 
KB911135.1_58 
KB911157.1_25 
KB911090.1_134 
KB911093.1_8 
KB911095.1_13 
KB911101.1_13 
KB911105.1_33 
KB911135.1_14 
KB911090.1_135 
KB911093.1_16 
KB911095.1_40 
KB911102.1_167 
KB911113.1_12 
KB911110.1_8 
KB911135.1_32 
